txn_id,ts,bank,upi_app,amount,status,failure_reason,processing_ms,retry,refund_time_min
T0000049,1764451500,Axis Bank,AmazonPay,32.41,SUCCESS,,247,N,
T0000050,1764187980,Axis Bank,GooglePay,35.75,SUCCESS,,449,N,
T0000051,1764026400,HDFC Bank,Paytm,19.15,SUCCESS,,351,N,
T0000052,1764114660,ICICI Bank,GooglePay,49.1,SUCCESS,,320,N,
T0000053,1764110280,HDFC Bank,BankApp,18.95,SUCCESS,,378,N,
T0000054,1764113580,SBI,AmazonPay,15.43,FAILED,daily_limit_exceeded,344,Y,
T0000055,1764361980,HDFC Bank,PhonePe,19.06,FAILED,daily_limit_exceeded,508,N,
T0000056,1764446100,SBI,Paytm,14.96,SUCCESS,,430,N,
T0000057,1764077700,Kotak,PhonePe,17.1,SUCCESS,,420,N,
T0000058,1764235680,Kotak,PhonePe,26.32,SUCCESS,,249,N,
T0000059,1764365520,ICICI Bank,BankApp,42.96,SUCCESS,,458,N,
T0000060,1764286800,Axis Bank,AmazonPay,40.74,SUCCESS,,275,N,
T0000061,1764473640,ICICI Bank,BankApp,46.07,SUCCESS,,215,N,
T0000062,1764151800,Axis Bank,PhonePe,32.8,SUCCESS,,361,N,
T0000063,1764460680,Kotak,PhonePe,20.35,SUCCESS,,330,N,
T0000064,1764357300,Kotak,PhonePe,27.79,SUCCESS,,545,N,
T0000065,1763963160,HDFC Bank,AmazonPay,27.53,SUCCESS,,433,N,
T0000066,1764193800,ICICI Bank,AmazonPay,28.45,FAILED,unknown_error,249,N,
T0000067,1763968620,ICICI Bank,BankApp,32.52,SUCCESS,,411,N,
T0000068,1764192780,Kotak,AmazonPay,26.08,SUCCESS,,274,N,
T0000069,1764294480,Axis Bank,GooglePay,12.89,SUCCESS,,320,N,
T0000070,1764187200,SBI,PhonePe,44.36,SUCCESS,,370,N,
T0000071,1764279480,SBI,BankApp,41.65,SUCCESS,,368,N,
T0000072,1764059460,HDFC Bank,BankApp,32.4,SUCCESS,,49,N,
T0000073,1764027420,Kotak,GooglePay,25.32,SUCCESS,,317,N,
T0000074,1764439440,ICICI Bank,PhonePe,43.29,SUCCESS,,339,N,
T0000075,1764365340,Axis Bank,PhonePe,45.74,SUCCESS,,296,N,
T0000076,1764282840,HDFC Bank,BankApp,36.25,SUCCESS,,501,N,
T0000077,1764195360,Axis Bank,BankApp,47.97,SUCCESS,,477,N,
T0000078,1764049920,Axis Bank,PhonePe,25.06,SUCCESS,,381,N,
T0000079,1764015180,Axis Bank,GooglePay,20.77,SUCCESS,,528,N,
T0000080,1764285240,SBI,PhonePe,24.86,SUCCESS,,158,N,
T0000081,1764441660,ICICI Bank,BankApp,27.94,SUCCESS,,290,N,
T0000082,1764537300,Axis Bank,BankApp,30.28,SUCCESS,,339,N,
T0000083,1764188880,Axis Bank,BankApp,19.15,FAILED,insufficient_balance,498,Y,
T0000084,1764297000,Axis Bank,Paytm,28.03,SUCCESS,,317,N,
T0000085,1764248340,Kotak,BankApp,35.32,SUCCESS,,311,N,
T0000086,1764096480,SBI,AmazonPay,36.87,SUCCESS,,467,N,
T0000087,1764274440,SBI,GooglePay,42.72,FAILED,daily_limit_exceeded,469,N,
T0000088,1764214620,SBI,BankApp,33.22,SUCCESS,,100,N,
T0000089,1764114180,HDFC Bank,BankApp,22.1,SUCCESS,,323,N,
T0000090,1764192660,Axis Bank,BankApp,42.14,SUCCESS,,241,N,
T0000091,1764322800,Kotak,AmazonPay,36.23,SUCCESS,,590,N,
T0000092,1764280020,HDFC Bank,PhonePe,18.1,FAILED,unknown_error,234,N,
T0000093,1764364140,HDFC Bank,GooglePay,44.23,FAILED,bank_timeout,58,N,
T0000094,1764102780,SBI,GooglePay,40.98,SUCCESS,,266,N,
T0000095,1763996580,Kotak,AmazonPay,36.13,FAILED,network_issue,358,N,
T0000096,1764177900,ICICI Bank,PhonePe,51.21,SUCCESS,,422,N,
T0000097,1764395820,HDFC Bank,PhonePe,48.27,SUCCESS,,378,N,
T0000098,1763974440,HDFC Bank,AmazonPay,40.01,SUCCESS,,354,N,
T0000099,1764332100,Kotak,AmazonPay,18.92,SUCCESS,,511,N,
T0000100,1764279360,HDFC Bank,PhonePe,34.47,SUCCESS,,357,N,
T0000101,1764460260,ICICI Bank,PhonePe,31.6,SUCCESS,,371,N,
T0000102,1764189600,HDFC Bank,AmazonPay,42.95,SUCCESS,,407,N,
T0000103,1764192960,ICICI Bank,BankApp,34.66,FAILED,bank_timeout,594,Y,
T0000104,1764527220,ICICI Bank,BankApp,29.86,SUCCESS,,440,N,
T0000105,1764039960,SBI,PhonePe,25.66,SUCCESS,,516,N,
T0000106,1764193980,HDFC Bank,AmazonPay,35.48,SUCCESS,,439,N,
T0000107,1764347340,HDFC Bank,AmazonPay,26.9,SUCCESS,,279,N,
T0000108,1764024540,SBI,AmazonPay,32.13,SUCCESS,,353,N,
T0000109,1764500820,HDFC Bank,PhonePe,35.99,SUCCESS,,235,N,
T0000110,1764458220,Kotak,GooglePay,20.83,SUCCESS,,497,N,
T0000111,1764113400,SBI,Paytm,34.65,SUCCESS,,88,N,
T0000112,1764358800,SBI,PhonePe,41.36,SUCCESS,,510,N,
T0000113,1764273540,Axis Bank,BankApp,46.12,SUCCESS,,188,N,
T0000114,1764445320,HDFC Bank,PhonePe,49.73,FAILED,network_issue,265,Y,
T0000115,1764008880,Axis Bank,BankApp,44.95,SUCCESS,,353,N,
T0000116,1764024240,Axis Bank,Paytm,44.88,SUCCESS,,542,N,
T0000117,1764018840,Kotak,AmazonPay,31.65,SUCCESS,,368,N,
T0000118,1764282660,Axis Bank,GooglePay,36.28,FAILED,gateway_timeout,499,N,
T0000119,1764198180,HDFC Bank,PhonePe,40.59,SUCCESS,,574,N,
T0000120,1764107340,HDFC Bank,PhonePe,15.51,SUCCESS,,414,N,
T0000121,1764022800,Kotak,GooglePay,26.41,SUCCESS,,428,N,
T0000122,1764374280,ICICI Bank,GooglePay,48.13,SUCCESS,,354,N,
T0000123,1764360840,Kotak,AmazonPay,47.15,SUCCESS,,118,N,
T0000124,1764107760,SBI,PhonePe,24.86,SUCCESS,,169,N,
T0000125,1764274440,Kotak,BankApp,26.32,SUCCESS,,615,N,
T0000126,1764015300,ICICI Bank,AmazonPay,14.61,SUCCESS,,154,N,
T0000127,1764188940,ICICI Bank,Paytm,47.37,SUCCESS,,279,N,
T0000128,1764155400,HDFC Bank,GooglePay,36.89,SUCCESS,,167,N,
T0000129,1764009960,Kotak,BankApp,22.76,SUCCESS,,161,N,
T0000130,1764499500,ICICI Bank,PhonePe,34.4,SUCCESS,,374,N,
T0000131,1764459960,HDFC Bank,Paytm,11.38,FAILED,bank_timeout,419,N,
T0000132,1764043500,HDFC Bank,AmazonPay,23.5,SUCCESS,,418,N,
T0000133,1764258000,Kotak,AmazonPay,41.39,SUCCESS,,453,N,
T0000134,1764368280,Kotak,PhonePe,26.34,SUCCESS,,68,N,
T0000135,1764066480,SBI,GooglePay,29.06,SUCCESS,,529,N,
T0000136,1764455160,Axis Bank,BankApp,15.2,SUCCESS,,321,N,
T0000137,1764116940,Axis Bank,Paytm,12.01,SUCCESS,,494,N,
T0000138,1764453900,Axis Bank,BankApp,12.45,SUCCESS,,310,N,
T0000139,1764324060,ICICI Bank,Paytm,43.17,FAILED,daily_limit_exceeded,264,Y,
T0000140,1764361560,Kotak,BankApp,43.36,SUCCESS,,269,N,
T0000141,1764271200,SBI,AmazonPay,47.37,SUCCESS,,376,N,
T0000142,1764136680,SBI,AmazonPay,25.14,SUCCESS,,294,N,
T0000143,1764273840,Axis Bank,AmazonPay,34.79,SUCCESS,,406,N,
T0000144,1764441060,SBI,GooglePay,15.18,SUCCESS,,461,N,
T0000145,1764060780,SBI,GooglePay,36.06,SUCCESS,,427,N,
T0000146,1764204240,ICICI Bank,PhonePe,34.14,SUCCESS,,470,N,
T0000147,1764097320,Kotak,Paytm,40.31,SUCCESS,,613,N,
T0000148,1764461460,SBI,BankApp,42.81,SUCCESS,,358,N,
T0000149,1764259860,SBI,BankApp,49.18,SUCCESS,,248,N,
T0000150,1764204540,HDFC Bank,BankApp,36.04,SUCCESS,,296,N,
T0000151,1764543060,Kotak,GooglePay,29.68,SUCCESS,,533,N,
T0000152,1764396900,ICICI Bank,AmazonPay,20.91,SUCCESS,,418,N,
T0000153,1764230520,HDFC Bank,BankApp,48.06,SUCCESS,,315,N,
T0000154,1764538500,Axis Bank,GooglePay,51.17,SUCCESS,,461,N,
T0000155,1763951460,Axis Bank,AmazonPay,45.49,FAILED,insufficient_balance,153,N,
T0000156,1764367320,ICICI Bank,GooglePay,49.88,SUCCESS,,485,N,
T0000157,1763985900,ICICI Bank,BankApp,11.2,SUCCESS,,106,N,
T0000158,1764532800,Kotak,PhonePe,26.19,SUCCESS,,281,N,
T0000159,1764545640,Kotak,GooglePay,24.96,SUCCESS,,109,N,
T0000160,1764106680,SBI,PhonePe,30.18,SUCCESS,,176,N,
T0000161,1764475860,Kotak,Paytm,19.92,FAILED,network_issue,328,N,
T0000162,1764100500,HDFC Bank,GooglePay,11.58,SUCCESS,,729,N,
T0000163,1764462600,Kotak,Paytm,34.7,SUCCESS,,315,N,
T0000164,1764158880,ICICI Bank,PhonePe,36.84,FAILED,insufficient_balance,436,N,
T0000165,1764113160,ICICI Bank,AmazonPay,50.83,SUCCESS,,333,N,
T0000166,1764289500,ICICI Bank,PhonePe,23.57,SUCCESS,,314,N,
T0000167,1764030840,ICICI Bank,BankApp,36.3,SUCCESS,,640,N,
T0000168,1764348900,HDFC Bank,AmazonPay,35.93,SUCCESS,,273,N,
T0000169,1764276660,Axis Bank,BankApp,12.94,SUCCESS,,181,N,
T0000170,1764159780,Axis Bank,AmazonPay,45.82,SUCCESS,,259,N,
T0000171,1764446700,HDFC Bank,PhonePe,18.43,SUCCESS,,296,N,
T0000172,1764016140,HDFC Bank,GooglePay,40.63,SUCCESS,,274,N,
T0000173,1764192540,HDFC Bank,PhonePe,14.69,SUCCESS,,352,N,
T0000174,1764502440,Axis Bank,BankApp,43.38,FAILED,network_issue,568,N,
T0000175,1764526680,ICICI Bank,AmazonPay,42.64,SUCCESS,,403,N,
T0000176,1764188640,Axis Bank,Paytm,35.55,FAILED,daily_limit_exceeded,165,N,
T0000177,1764187500,HDFC Bank,AmazonPay,18.23,SUCCESS,,195,N,
T0000178,1764051480,ICICI Bank,Paytm,30.28,FAILED,unknown_error,358,N,
T0000179,1764543180,SBI,GooglePay,21.01,SUCCESS,,453,N,
T0000180,1764398220,SBI,BankApp,12.75,SUCCESS,,302,N,
T0000181,1764540300,ICICI Bank,BankApp,40.06,SUCCESS,,200,N,
T0000182,1764184740,Kotak,GooglePay,34.98,SUCCESS,,405,N,
T0000183,1764441840,HDFC Bank,Paytm,36.82,SUCCESS,,258,N,
T0000184,1764037140,ICICI Bank,BankApp,24.36,SUCCESS,,314,N,
T0000185,1764100860,SBI,PhonePe,34.93,SUCCESS,,265,N,
T0000186,1764367440,HDFC Bank,BankApp,25.24,SUCCESS,,354,N,
T0000187,1764516240,ICICI Bank,PhonePe,54.01,SUCCESS,,146,N,
T0000188,1764547020,Kotak,PhonePe,40.33,FAILED,network_issue,298,Y,
T0000189,1764283500,Axis Bank,BankApp,32.45,SUCCESS,,459,N,
T0000190,1764017700,ICICI Bank,Paytm,42.91,SUCCESS,,451,N,
T0000191,1764354300,SBI,Paytm,43.08,SUCCESS,,387,N,
T0000192,1764528060,Axis Bank,PhonePe,49.29,SUCCESS,,221,N,
T0000193,1764359100,HDFC Bank,PhonePe,33.8,SUCCESS,,219,N,
T0000194,1764112260,SBI,Paytm,20.94,SUCCESS,,326,N,
T0000195,1764027240,ICICI Bank,PhonePe,36.21,SUCCESS,,466,N,
T0000196,1764281700,SBI,Paytm,15.98,FAILED,bank_timeout,225,Y,
T0000197,1764103680,Kotak,GooglePay,31.96,SUCCESS,,389,N,
T0000198,1764145980,ICICI Bank,GooglePay,11.2,FAILED,daily_limit_exceeded,498,Y,35.0
T0000199,1764017520,SBI,AmazonPay,16.19,SUCCESS,,538,N,
T0000200,1764219420,HDFC Bank,GooglePay,18.25,SUCCESS,,500,N,
T0000201,1764284340,Kotak,AmazonPay,32.1,SUCCESS,,377,N,
T0000202,1764534060,ICICI Bank,BankApp,29.7,SUCCESS,,352,N,
T0000203,1763972940,Kotak,AmazonPay,33.59,SUCCESS,,193,N,
T0000204,1764441240,Kotak,GooglePay,14.39,FAILED,daily_limit_exceeded,472,Y,
T0000205,1764024540,HDFC Bank,BankApp,30.56,SUCCESS,,479,N,
T0000206,1764454620,SBI,GooglePay,44.91,SUCCESS,,385,N,
T0000207,1764454200,HDFC Bank,AmazonPay,40.63,FAILED,gateway_timeout,335,N,
T0000208,1764199080,Axis Bank,Paytm,30.26,SUCCESS,,592,N,
T0000209,1764279720,SBI,GooglePay,47.72,SUCCESS,,438,N,
T0000210,1764450600,ICICI Bank,PhonePe,17.78,SUCCESS,,557,N,
T0000211,1763977200,ICICI Bank,Paytm,46.87,FAILED,network_issue,295,N,
T0000212,1764020520,Kotak,BankApp,25.54,SUCCESS,,423,N,
T0000213,1764079500,Axis Bank,Paytm,45.04,SUCCESS,,497,N,
T0000214,1764355800,Axis Bank,AmazonPay,34.65,FAILED,gateway_timeout,235,N,
T0000215,1764532380,HDFC Bank,GooglePay,44.32,SUCCESS,,399,N,
T0000216,1764086820,Kotak,PhonePe,40.96,FAILED,unknown_error,403,Y,
T0000217,1764229380,SBI,GooglePay,38.75,SUCCESS,,40,N,
T0000218,1764531360,Axis Bank,Paytm,17.36,SUCCESS,,443,N,
T0000219,1764102720,HDFC Bank,BankApp,19.15,SUCCESS,,253,N,
T0000220,1764297540,SBI,Paytm,33.38,SUCCESS,,225,N,
T0000221,1764192960,Axis Bank,GooglePay,20.2,SUCCESS,,267,N,
T0000222,1764484260,Axis Bank,GooglePay,38.38,SUCCESS,,406,N,
T0000223,1764459600,ICICI Bank,AmazonPay,30.26,SUCCESS,,188,N,
T0000224,1764348720,Kotak,BankApp,40.65,SUCCESS,,414,N,
T0000225,1764443700,Kotak,PhonePe,18.09,SUCCESS,,529,N,
T0000226,1764172260,Kotak,GooglePay,46.68,SUCCESS,,336,N,
T0000227,1764443880,HDFC Bank,PhonePe,25.67,SUCCESS,,238,N,
T0000228,1764365400,SBI,PhonePe,25.85,SUCCESS,,309,N,
T0000229,1764114720,Axis Bank,AmazonPay,17.68,SUCCESS,,332,N,
T0000230,1764281820,SBI,BankApp,18.26,SUCCESS,,538,N,
T0000231,1764168060,SBI,AmazonPay,22.41,SUCCESS,,359,N,
T0000232,1764542280,Kotak,BankApp,50.22,SUCCESS,,577,N,
T0000233,1764415560,ICICI Bank,GooglePay,28.23,SUCCESS,,192,N,
T0000234,1764089940,ICICI Bank,Paytm,28.88,SUCCESS,,416,N,
T0000235,1764444300,Kotak,Paytm,25.64,SUCCESS,,691,N,
T0000236,1764184740,Kotak,AmazonPay,38.92,SUCCESS,,510,N,
T0000237,1764527580,SBI,PhonePe,20.66,FAILED,unknown_error,468,N,70.0
T0000238,1764186180,Axis Bank,Paytm,50.87,SUCCESS,,281,N,
T0000239,1764037680,SBI,AmazonPay,40.99,SUCCESS,,423,N,
T0000240,1764196680,Kotak,Paytm,16.78,SUCCESS,,392,N,
T0000241,1764271260,HDFC Bank,Paytm,42.33,SUCCESS,,292,N,
T0000242,1764360300,Kotak,BankApp,47.24,SUCCESS,,82,N,
T0000243,1764533580,HDFC Bank,PhonePe,33.52,SUCCESS,,255,N,
T0000244,1764112500,Axis Bank,GooglePay,46.87,SUCCESS,,229,N,
T0000245,1764499380,HDFC Bank,PhonePe,43.87,SUCCESS,,458,N,
T0000246,1764090300,SBI,AmazonPay,30.21,SUCCESS,,305,N,
T0000247,1764089100,Kotak,PhonePe,12.98,SUCCESS,,257,N,
T0000248,1764100140,SBI,GooglePay,23.29,SUCCESS,,275,N,
T0000249,1764470280,SBI,GooglePay,47.83,SUCCESS,,326,N,
T0000250,1764022320,ICICI Bank,GooglePay,29.56,SUCCESS,,515,N,
T0000251,1764111000,ICICI Bank,AmazonPay,28.29,SUCCESS,,140,N,
T0000252,1763980500,SBI,BankApp,42.67,SUCCESS,,287,N,
T0000253,1764270960,SBI,GooglePay,50.61,FAILED,unknown_error,334,N,
T0000254,1764025740,HDFC Bank,AmazonPay,42.74,SUCCESS,,522,N,
T0000255,1764531120,HDFC Bank,PhonePe,20.51,SUCCESS,,237,N,
T0000256,1764287400,Kotak,AmazonPay,19.97,SUCCESS,,309,N,
T0000257,1764114000,Kotak,Paytm,47.17,SUCCESS,,160,N,
T0000258,1764024900,SBI,BankApp,33.62,SUCCESS,,443,N,
T0000259,1764456900,Kotak,AmazonPay,32.45,SUCCESS,,250,N,
T0000260,1764013380,Axis Bank,AmazonPay,32.37,SUCCESS,,452,N,
T0000261,1764197700,Axis Bank,AmazonPay,13.16,SUCCESS,,455,N,
T0000262,1763991480,Kotak,Paytm,46.46,FAILED,unknown_error,522,N,
T0000263,1764100500,ICICI Bank,BankApp,48.21,SUCCESS,,368,N,
T0000264,1764392940,SBI,Paytm,24.54,SUCCESS,,458,N,
T0000265,1764528060,SBI,GooglePay,12.97,SUCCESS,,222,N,
T0000266,1764180660,Kotak,PhonePe,30.63,SUCCESS,,484,N,
T0000267,1764539580,HDFC Bank,GooglePay,31.59,SUCCESS,,397,N,
T0000268,1764028260,HDFC Bank,AmazonPay,22.21,SUCCESS,,192,N,
T0000269,1764444600,HDFC Bank,BankApp,28.4,SUCCESS,,293,N,
T0000270,1764400320,HDFC Bank,GooglePay,24.99,SUCCESS,,550,N,
T0000271,1764010140,HDFC Bank,PhonePe,23.8,SUCCESS,,658,N,
T0000272,1764445740,HDFC Bank,BankApp,21.24,FAILED,gateway_timeout,204,N,
T0000273,1763998020,Axis Bank,BankApp,16.76,FAILED,daily_limit_exceeded,176,Y,
T0000274,1764241200,SBI,BankApp,45.31,SUCCESS,,494,N,
T0000275,1764265860,Axis Bank,GooglePay,47.85,SUCCESS,,350,N,
T0000276,1764310380,HDFC Bank,GooglePay,38.56,FAILED,insufficient_balance,298,N,
T0000277,1764540480,Kotak,GooglePay,38.3,FAILED,gateway_timeout,347,N,
T0000278,1764509940,ICICI Bank,PhonePe,29.58,FAILED,bank_timeout,347,N,
T0000279,1764363600,HDFC Bank,Paytm,13.03,SUCCESS,,265,N,
T0000280,1764531120,SBI,PhonePe,35.46,SUCCESS,,286,N,
T0000281,1764449520,HDFC Bank,BankApp,22.68,SUCCESS,,161,N,
T0000282,1764100260,ICICI Bank,Paytm,47.02,SUCCESS,,248,N,
T0000283,1764010020,Axis Bank,PhonePe,24.46,SUCCESS,,458,N,
T0000284,1764449040,ICICI Bank,GooglePay,16.35,FAILED,unknown_error,547,Y,
T0000285,1764120060,ICICI Bank,Paytm,22.39,FAILED,daily_limit_exceeded,442,Y,
T0000286,1764368700,ICICI Bank,GooglePay,15.79,SUCCESS,,257,N,
T0000287,1764459780,ICICI Bank,PhonePe,29.86,SUCCESS,,327,N,
T0000288,1764354300,HDFC Bank,BankApp,44.09,SUCCESS,,203,N,
T0000289,1764063780,ICICI Bank,PhonePe,30.43,SUCCESS,,220,N,
T0000290,1764273480,ICICI Bank,PhonePe,46.02,SUCCESS,,150,N,
T0000291,1764034020,Kotak,BankApp,19.53,SUCCESS,,581,N,
T0000292,1764015960,ICICI Bank,Paytm,48.19,SUCCESS,,54,N,
T0000293,1764287640,HDFC Bank,AmazonPay,50.47,SUCCESS,,310,N,
T0000294,1764415380,Axis Bank,GooglePay,25.99,SUCCESS,,520,N,
T0000295,1763992800,SBI,GooglePay,44.28,SUCCESS,,320,N,
T0000296,1764181980,ICICI Bank,Paytm,38.81,SUCCESS,,451,N,
T0000297,1764265260,Axis Bank,BankApp,24.14,FAILED,network_issue,40,N,
T0000298,1764015240,ICICI Bank,Paytm,36.66,FAILED,bank_timeout,332,N,
T0000299,1764101280,ICICI Bank,GooglePay,28.5,SUCCESS,,242,N,
T0000300,1764285720,HDFC Bank,AmazonPay,38.95,SUCCESS,,406,N,
T0000301,1764183060,HDFC Bank,Paytm,18.02,SUCCESS,,389,N,
T0000302,1764278340,Kotak,PhonePe,15.81,SUCCESS,,283,N,
T0000303,1764084780,Kotak,PhonePe,21.23,FAILED,network_issue,40,N,
T0000304,1764189240,Axis Bank,AmazonPay,47.64,SUCCESS,,298,N,
T0000305,1764371220,Axis Bank,Paytm,44.78,SUCCESS,,121,N,
T0000306,1764021780,SBI,BankApp,23.67,FAILED,gateway_timeout,342,N,
T0000307,1764453000,Axis Bank,Paytm,27.52,SUCCESS,,91,N,
T0000308,1764206700,HDFC Bank,BankApp,49.57,SUCCESS,,381,N,
T0000309,1764539160,Kotak,GooglePay,46.96,SUCCESS,,414,N,
T0000310,1764528000,Axis Bank,BankApp,25.28,SUCCESS,,128,N,
T0000311,1764276180,Kotak,PhonePe,29.2,SUCCESS,,598,N,
T0000312,1764190260,SBI,AmazonPay,12.78,SUCCESS,,199,N,
T0000313,1764020700,HDFC Bank,AmazonPay,14.7,SUCCESS,,357,N,
T0000314,1764280980,SBI,Paytm,45.2,SUCCESS,,358,N,
T0000315,1764224700,Kotak,AmazonPay,42.65,SUCCESS,,424,N,
T0000316,1764359640,Axis Bank,BankApp,19.01,SUCCESS,,210,N,
T0000317,1764246840,HDFC Bank,GooglePay,37.21,SUCCESS,,351,N,
T0000318,1764419460,Axis Bank,Paytm,44.57,SUCCESS,,362,N,
T0000319,1764358140,HDFC Bank,BankApp,39.07,SUCCESS,,410,N,
T0000320,1764030300,SBI,BankApp,28.93,SUCCESS,,155,N,
T0000321,1764366960,Axis Bank,GooglePay,40.34,SUCCESS,,107,N,
T0000322,1764199680,SBI,BankApp,41.93,SUCCESS,,266,N,
T0000323,1764085020,SBI,Paytm,42.55,FAILED,network_issue,663,N,
T0000324,1764284700,SBI,Paytm,24.23,SUCCESS,,242,N,
T0000325,1764292680,Kotak,GooglePay,37.76,SUCCESS,,653,N,
T0000326,1764541860,HDFC Bank,BankApp,47.38,SUCCESS,,397,N,
T0000327,1764086880,Axis Bank,PhonePe,45.75,SUCCESS,,392,N,
T0000328,1764277920,Kotak,Paytm,17.99,FAILED,network_issue,288,N,
T0000329,1764460080,SBI,Paytm,16.42,SUCCESS,,334,N,
T0000330,1764011820,Kotak,PhonePe,11.42,SUCCESS,,391,N,
T0000331,1764184740,Axis Bank,BankApp,22.92,SUCCESS,,301,N,
T0000332,1764266700,HDFC Bank,AmazonPay,43.73,SUCCESS,,280,N,
T0000333,1764130500,ICICI Bank,Paytm,47.41,SUCCESS,,464,N,
T0000334,1763948340,ICICI Bank,PhonePe,18.23,SUCCESS,,694,N,
T0000335,1764093660,Kotak,Paytm,10.82,SUCCESS,,259,N,
T0000336,1763979300,ICICI Bank,BankApp,16.53,SUCCESS,,437,N,
T0000337,1764369120,HDFC Bank,Paytm,17.58,SUCCESS,,347,N,
T0000338,1764190560,SBI,BankApp,31.16,SUCCESS,,254,N,
T0000339,1763966520,Kotak,GooglePay,49.28,SUCCESS,,412,N,
T0000340,1764366420,Axis Bank,Paytm,30.32,SUCCESS,,159,N,
T0000341,1764530700,HDFC Bank,PhonePe,17.01,SUCCESS,,237,N,
T0000342,1764114600,ICICI Bank,AmazonPay,43.76,SUCCESS,,223,N,
T0000343,1764460380,HDFC Bank,BankApp,18.64,SUCCESS,,283,N,
T0000344,1764204060,SBI,BankApp,30.45,FAILED,unknown_error,393,N,86.0
T0000345,1764190920,Axis Bank,Paytm,41.86,SUCCESS,,371,N,
T0000346,1764096180,Kotak,BankApp,37.92,FAILED,bank_timeout,248,N,
T0000347,1764453180,SBI,Paytm,44.9,SUCCESS,,511,N,
T0000348,1764369300,Kotak,AmazonPay,49.93,SUCCESS,,490,N,
